Learning Rate	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	0.052907	0.505236	98.572672	90.979631	
0.001000	0.055030	0.481204	98.416014	91.561591	
0.001000	0.047776	0.480986	98.833768	91.658584	
0.001000	0.051302	0.504462	98.450827	91.270611	
0.001000	0.041956	0.484470	98.868581	91.173618	
0.001000	0.040384	0.481465	98.955614	91.755577	
0.001000	0.046251	0.494367	98.798956	91.270611	
0.001000	0.040276	0.511364	98.868581	90.688652	
0.001000	0.044652	0.508625	98.798956	90.882638	
0.001000	0.050108	0.533081	98.555265	90.979631	
0.001000	0.052000	0.531440	98.555265	90.882638	
0.001000	0.041497	0.521861	98.885988	91.270611	
0.001000	0.051705	0.537071	98.624891	90.688652	
0.001000	0.048411	0.549718	98.659704	90.979631	
0.001000	0.055876	0.547355	98.433420	91.852570	
0.001000	0.045808	0.531250	98.624891	90.494665	
0.001000	0.054428	0.539915	98.381201	91.173618	
0.001000	0.052772	0.498313	98.433420	91.658584	
0.001000	0.052206	0.532076	98.503046	91.464597	
0.001000	0.049108	0.506167	98.555265	91.755577	
0.001000	0.044596	0.537669	98.642298	91.367604	
0.001000	0.043565	0.550956	98.764143	90.591659	
0.001000	0.048889	0.538126	98.555265	91.173618	
0.001000	0.044539	0.539427	98.746736	91.561591	
0.001000	0.052911	0.522509	98.624891	91.755577	
0.001000	0.041105	0.529893	98.851175	91.367604	
0.001000	0.046948	0.537002	98.764143	91.270611	
0.001000	0.042503	0.541717	98.851175	91.270611	
0.001000	0.042613	0.548980	98.885988	91.367604	
0.001000	0.048774	0.546100	98.607485	91.270611	
0.001000	0.045210	0.554823	98.677111	90.979631	
0.001000	0.050793	0.527530	98.363795	91.658584	
0.001000	0.048465	0.538940	98.624891	91.270611	
0.001000	0.043680	0.545202	98.816362	91.561591	
0.001000	0.047781	0.511796	98.781549	91.658584	
0.001000	0.048544	0.543342	98.624891	91.464597	
0.001000	0.047782	0.533830	98.555265	91.852570	
0.001000	0.046598	0.549211	98.746736	91.076625	
0.001000	0.045356	0.553455	98.729330	91.076625	
0.001000	0.044016	0.522118	98.764143	91.658584	
0.001000	0.040173	0.519414	98.851175	91.270611	
0.001000	0.054096	0.513032	98.450827	91.270611	
0.001000	0.040043	0.529976	98.833768	91.755577	
0.001000	0.044744	0.544228	98.590078	91.270611	
0.001000	0.041050	0.557166	98.955614	91.464597	
0.001000	0.041607	0.551916	98.746736	91.076625	
0.001000	0.043880	0.511226	98.816362	91.755577	
0.001000	0.042658	0.560197	98.764143	91.949564	
0.001000	0.041951	0.546338	98.816362	92.046557	
0.001000	0.041331	0.520811	98.798956	92.046557	
