Learning Rate	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	0.031166	0.493127	99.019050	91.508491	
0.001000	0.034432	0.529893	98.834234	90.609391	
0.001000	0.028896	0.584873	98.848450	90.209790	
0.001000	0.027634	0.542641	99.047484	90.109890	
0.001000	0.034038	0.589201	98.777367	90.409591	
0.001000	0.036711	0.542577	98.706284	90.709291	
0.001000	0.034069	0.553219	98.734717	90.309690	
0.001000	0.035600	0.505039	98.848450	89.810190	
0.001000	0.031283	0.538599	98.848450	90.009990	
0.001000	0.035888	0.503700	98.748934	90.209790	
0.001000	0.038563	0.546849	98.620984	89.210789	
0.001000	0.033681	0.476555	98.876884	89.710290	
0.001000	0.034265	0.478691	98.805800	89.910090	
0.001000	0.037716	0.513182	98.606767	90.009990	
0.001000	0.033307	0.520426	98.962184	90.009990	
0.001000	0.036279	0.492886	98.734717	89.710290	
0.001000	0.039109	0.592165	98.606767	89.510490	
0.001000	0.027377	0.511225	98.990617	90.009990	
0.001000	0.034808	0.587012	98.649417	89.910090	
0.001000	0.032109	0.583972	98.905317	90.109890	
0.001000	0.037360	0.536009	98.777367	89.710290	
0.001000	0.040314	0.502813	98.635200	90.309690	
0.001000	0.031916	0.654078	98.677850	88.411589	
0.001000	0.032015	0.597898	98.905317	89.110889	
0.001000	0.036315	0.536498	98.805800	89.610390	
0.001000	0.035307	0.598650	98.720500	89.510489	
0.001000	0.036136	0.575381	98.848450	90.209790	
0.001000	0.033415	0.542027	98.734717	89.110889	
0.001000	0.030622	0.569848	99.019050	89.410589	
