Learning Rate	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	0.024832	0.487461	99.232300	91.608392	
0.001000	0.029193	0.490109	99.004834	91.708292	
0.001000	0.022855	0.455097	99.317600	91.308691	
0.001000	0.027305	0.463520	99.019050	91.108891	
0.001000	0.028702	0.460479	98.976400	91.508492	
0.001000	0.027669	0.500269	99.104350	91.108891	
0.001000	0.026787	0.490020	99.004834	90.809191	
0.001000	0.027908	0.458117	99.033267	90.509491	
0.001000	0.018798	0.479889	99.417117	90.709291	
0.001000	0.025266	0.480315	99.118567	90.409590	
0.001000	0.023038	0.507896	99.203867	90.009990	
0.001000	0.023420	0.494370	99.132784	90.409590	
0.001000	0.025527	0.465624	99.161217	90.509490	
0.001000	0.029687	0.489737	99.047484	91.008991	
0.001000	0.028805	0.532633	99.047484	90.709291	
0.001000	0.025163	0.503007	99.161217	91.008991	
0.001000	0.024947	0.478164	99.075917	90.509491	
0.001000	0.025339	0.504009	99.104350	90.809191	
0.001000	0.028597	0.503744	99.075917	90.609391	
0.001000	0.025854	0.507031	99.189650	90.809191	
0.001000	0.022494	0.500900	99.075917	91.508492	
0.001000	0.028446	0.509250	99.033267	90.409590	
0.001000	0.030038	0.475279	99.019050	90.909091	
0.001000	0.030434	0.487984	99.019050	90.809191	
0.001000	0.033974	0.493061	98.820017	91.108891	
0.001000	0.026070	0.488882	99.147000	89.810190	
0.001000	0.024576	0.511916	99.161217	90.309690	
0.001000	0.024656	0.512161	99.218084	90.309690	
0.001000	0.028798	0.499944	98.947967	90.209790	
0.001000	0.030409	0.495847	98.905317	90.209790	
0.001000	0.026480	0.479371	99.147000	89.910090	
0.001000	0.027228	0.473579	99.147000	90.009990	
0.001000	0.026488	0.527011	99.104350	90.109890	
0.001000	0.025219	0.553868	99.104350	90.009990	
0.001000	0.024994	0.506345	99.218084	90.309690	
0.001000	0.025894	0.506146	99.033267	89.810190	
0.001000	0.024965	0.531883	99.104350	90.609391	
0.001000	0.023910	0.516941	99.232300	90.209790	
0.001000	0.024584	0.543239	99.203867	90.709291	
0.001000	0.030173	0.521151	99.132784	90.309690	
0.001000	0.023273	0.540835	99.118567	90.309691	
0.001000	0.028496	0.503186	98.990617	90.309690	
0.001000	0.025573	0.518409	99.118567	89.910090	
0.001000	0.028325	0.505414	98.876884	90.209790	
0.001000	0.024655	0.514486	99.161217	90.209790	
0.001000	0.028180	0.494725	99.033267	91.108891	
0.001000	0.025985	0.490943	99.246517	91.108891	
0.001000	0.022830	0.483731	99.289167	91.708292	
0.001000	0.023651	0.515414	99.260734	91.408591	
0.001000	0.026191	0.466809	98.947967	91.208791	
0.001000	0.019399	0.475019	99.260734	90.909091	
0.001000	0.025010	0.472796	99.218084	90.909091	
0.001000	0.028402	0.458937	99.047484	91.208791	
0.001000	0.029433	0.431351	99.104350	91.308691	
0.001000	0.023258	0.446000	99.218084	91.008991	
0.001000	0.025925	0.495915	98.976400	90.509491	
0.001000	0.022587	0.490326	99.232300	90.909091	
0.001000	0.018610	0.522173	99.303384	89.910090	
0.001000	0.023014	0.522629	99.317600	90.609391	
0.001000	0.026152	0.513777	98.976400	90.309690	
0.001000	0.020288	0.531626	99.331817	90.409590	
0.001000	0.023765	0.480857	99.132784	90.809191	
0.001000	0.024361	0.490378	99.317600	90.109890	
0.001000	0.026355	0.526627	98.919534	90.309691	
0.001000	0.024248	0.539564	99.118567	90.309690	
0.001000	0.026166	0.478079	99.061700	90.109890	
0.001000	0.025255	0.495952	99.189650	90.209790	
0.001000	0.030846	0.497287	98.947967	90.509490	
0.001000	0.025767	0.535283	99.189650	90.609391	
0.001000	0.023532	0.514266	99.218084	90.209790	
0.001000	0.022739	0.517334	99.289167	90.209790	
0.001000	0.026204	0.509735	99.090134	91.308691	
0.001000	0.024583	0.514869	99.033267	90.109890	
0.001000	0.027439	0.542201	99.004834	90.009990	
0.001000	0.024873	0.544036	99.203867	90.509490	
0.001000	0.024176	0.579752	99.189650	90.309690	
0.001000	0.024181	0.572581	99.147000	89.910090	
0.001000	0.023841	0.539507	99.147000	90.909091	
0.001000	0.020620	0.534595	99.331817	90.709291	
0.001000	0.024933	0.534239	99.289167	90.009990	
0.001000	0.028734	0.563021	99.118567	89.810190	
0.001000	0.021767	0.519461	99.246517	90.409591	
0.001000	0.023065	0.516060	99.118567	90.509491	
0.001000	0.024101	0.520917	99.246517	90.309690	
0.001000	0.024432	0.534766	99.132784	89.910090	
0.001000	0.025483	0.517705	99.132784	89.910090	
0.001000	0.024614	0.501045	99.019050	90.809191	
0.001000	0.028974	0.510975	98.990617	90.609391	
0.001000	0.022587	0.495162	99.317600	90.909091	
0.001000	0.025613	0.491944	99.132784	90.309691	
0.001000	0.023714	0.491231	99.161217	90.809191	
0.001000	0.019164	0.513950	99.331817	91.008991	
0.001000	0.028887	0.534442	99.047484	91.108891	
0.001000	0.028862	0.524760	98.947967	90.709291	
0.001000	0.021456	0.522726	99.175434	90.609391	
0.001000	0.021691	0.555192	99.189650	90.409590	
0.001000	0.021053	0.574694	99.189650	90.409590	
0.001000	0.025935	0.543541	98.933750	90.309690	
0.001000	0.030583	0.541938	98.891100	90.809191	
0.001000	0.024332	0.524789	99.104350	91.108891	
0.001000	0.018519	0.535682	99.388684	90.609391	
0.001000	0.023450	0.562014	99.147000	89.710290	
0.001000	0.030610	0.591546	98.962184	89.710290	
0.001000	0.028392	0.536068	99.147000	90.209790	
0.001000	0.031249	0.529881	98.976400	90.209790	
0.001000	0.028457	0.469705	99.047484	90.609391	
0.001000	0.030102	0.496982	99.019050	90.209790	
0.001000	0.028271	0.576035	99.019050	89.210789	
0.001000	0.031384	0.580138	98.891100	89.510490	
0.001000	0.030034	0.553092	99.019050	90.909091	
0.001000	0.033126	0.551310	98.805800	90.009990	
0.001000	0.035291	0.532367	98.763150	89.310689	
0.001000	0.027567	0.575240	99.004834	90.309690	
0.001000	0.024525	0.582586	99.104350	89.710290	
0.001000	0.036876	0.567994	98.720500	90.209790	
0.001000	0.033480	0.534924	98.862667	90.109890	
0.001000	0.032906	0.537798	98.919534	90.009990	
0.001000	0.028483	0.519445	99.019050	90.809191	
0.001000	0.028309	0.529081	99.019050	90.009990	
0.001000	0.023697	0.499595	99.132784	90.409591	
0.001000	0.028256	0.608854	99.019050	90.209790	
0.001000	0.034879	0.569222	98.820017	89.810190	
0.001000	0.031620	0.523354	98.933750	90.509491	
0.001000	0.026294	0.551482	99.118567	89.910090	
0.001000	0.032966	0.571793	98.990617	89.410589	
